"","id","tvalue","pvalue","correlation","band","task","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"1","voc_AF3_closed_ForgettingRate_Alpha",0.597465783955619,0.553004743020169,0.0859178734767832,"Alpha","Vocabulary",1,0.856424811967041,1,0.997120948748304,0.997120948748304,1
"2","voc_AF4_closed_ForgettingRate_Alpha",0.734947104987215,0.465947442982615,0.105488602479638,"Alpha","Vocabulary",1,0.852129896067287,1,0.997120948748304,0.997120948748304,1
"3","voc_F3_closed_ForgettingRate_Alpha",0.442196646516634,0.660333000426838,0.0636959807465001,"Alpha","Vocabulary",1,0.891051759612118,1,0.997120948748304,0.997120948748304,1
"4","voc_F4_closed_ForgettingRate_Alpha",0.730364757452705,0.468717169337669,0.104838139275739,"Alpha","Vocabulary",1,0.852129896067287,1,0.997120948748304,0.997120948748304,1
"5","voc_FC5_closed_ForgettingRate_Alpha",-0.0481444077737319,0.961800921739298,-0.00694887892098452,"Alpha","Vocabulary",1,0.967406722724714,1,0.997120948748304,0.997120948748304,1
"6","voc_FC6_closed_ForgettingRate_Alpha",0.678628912910558,0.500631992023642,0.0974851011641288,"Alpha","Vocabulary",1,0.852129896067287,1,0.997120948748304,0.997120948748304,1
"7","voc_F7_closed_ForgettingRate_Alpha",0.689151521343827,0.494045932973719,0.0989819771948177,"Alpha","Vocabulary",1,0.852129896067287,1,0.997120948748304,0.997120948748304,1
"8","voc_F8_closed_ForgettingRate_Alpha",0.957189170115337,0.343268220329292,0.136858372443373,"Alpha","Vocabulary",1,0.784613075038382,1,0.997120948748304,0.997120948748304,1
"9","voc_T7_closed_ForgettingRate_Alpha",0.249313568299778,0.804182042329985,0.035962037084888,"Alpha","Vocabulary",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"10","voc_T8_closed_ForgettingRate_Alpha",1.21655585155167,0.22972163194405,0.172948647785968,"Alpha","Vocabulary",1,0.686433393813729,1,0.997120948748304,0.997120948748304,1
"11","voc_P7_closed_ForgettingRate_Alpha",-0.592277949561661,0.556444347311452,-0.0851772790827135,"Alpha","Vocabulary",1,0.856424811967041,1,0.997120948748304,0.997120948748304,1
"12","voc_P8_closed_ForgettingRate_Alpha",1.49151714764718,0.142369123709103,0.210460164846083,"Alpha","Vocabulary",1,0.638011910675191,1,0.997120948748304,0.997120948748304,1
"13","voc_O1_closed_ForgettingRate_Alpha",0.286376608262873,0.775822130970037,0.041299636278479,"Alpha","Vocabulary",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"14","voc_O2_closed_ForgettingRate_Alpha",0.851349031911624,0.398802932195849,0.121964274137241,"Alpha","Vocabulary",1,0.840114536800187,1,0.997120948748304,0.997120948748304,1
"15","loc_AF3_closed_ForgettingRate_Alpha",0.785708539352708,0.435899725534001,0.112684942071548,"Alpha","Location",1,0.849056856692316,1,0.997120948748304,0.997120948748304,1
"16","loc_AF4_closed_ForgettingRate_Alpha",1.03058767168065,0.307899363756927,0.1471335886819,"Alpha","Location",1,0.75239412752085,1,0.997120948748304,0.997120948748304,1
"17","loc_F3_closed_ForgettingRate_Alpha",0.978561365654285,0.33270320982109,0.139855027813263,"Alpha","Location",1,0.776307489582543,1,0.997120948748304,0.997120948748304,1
"18","loc_F4_closed_ForgettingRate_Alpha",1.09763623829304,0.277839219636232,0.156478501280158,"Alpha","Location",1,0.75239412752085,1,0.997120948748304,0.997120948748304,1
"19","loc_FC5_closed_ForgettingRate_Alpha",0.540571833753004,0.591302473550828,0.0777883997646268,"Alpha","Location",1,0.865697739054806,1,0.997120948748304,0.997120948748304,1
"20","loc_FC6_closed_ForgettingRate_Alpha",1.1718283537367,0.247049726922405,0.16677019810781,"Alpha","Location",1,0.709476138854087,1,0.997120948748304,0.997120948748304,1
"21","loc_F7_closed_ForgettingRate_Alpha",0.804236326149446,0.425225854530965,0.115307236669682,"Alpha","Location",1,0.840114536800187,1,0.997120948748304,0.997120948748304,1
"22","loc_F8_closed_ForgettingRate_Alpha",1.21626168117883,0.229832609535847,0.172908078231713,"Alpha","Location",1,0.686433393813729,1,0.997120948748304,0.997120948748304,1
"23","loc_T7_closed_ForgettingRate_Alpha",-0.689003211707081,0.494138426058564,-0.0989608842994402,"Alpha","Location",1,0.852129896067287,1,0.997120948748304,0.997120948748304,1
"24","loc_T8_closed_ForgettingRate_Alpha",1.70239322084679,0.0951503985927604,0.23862113868318,"Alpha","Location",1,0.609311692626139,1,0.997120948748304,0.997120948748304,1
"25","loc_P7_closed_ForgettingRate_Alpha",-1.03541717842062,0.305662558687109,-0.147808052232197,"Alpha","Location",1,0.75239412752085,1,0.997120948748304,0.997120948748304,1
"26","loc_P8_closed_ForgettingRate_Alpha",1.5740183280954,0.122052170403801,0.221544371712929,"Alpha","Location",1,0.621356503873898,1,0.997120948748304,0.997120948748304,1
"27","loc_O1_closed_ForgettingRate_Alpha",-0.667641434897111,0.507559940133626,-0.0959213896723349,"Alpha","Location",1,0.852129896067287,1,0.997120948748304,0.997120948748304,1
"28","loc_O2_closed_ForgettingRate_Alpha",0.414833159142508,0.680112345674338,0.0597689649334262,"Alpha","Location",1,0.906979539350676,1,0.997120948748304,0.997120948748304,1
"29","voc_AF3_closed_ForgettingRate_Delta",-0.563963571465898,0.575404629474098,-0.0811327750318581,"Delta","Vocabulary",1,0.859270913347987,1,0.997120948748304,0.997120948748304,1
"30","voc_AF4_closed_ForgettingRate_Delta",-0.587018190616929,0.559942589624422,-0.0844262728790026,"Delta","Vocabulary",1,0.856424811967041,1,0.997120948748304,0.997120948748304,1
"31","voc_F3_closed_ForgettingRate_Delta",-0.984300067025427,0.329903642473847,-0.14065901672044,"Delta","Vocabulary",1,0.776307489582543,1,0.997120948748304,0.997120948748304,1
"32","voc_F4_closed_ForgettingRate_Delta",-0.46192993290298,0.646218443261428,-0.0665261390527591,"Delta","Vocabulary",1,0.891051759612118,1,0.997120948748304,0.997120948748304,1
